nr_sessions,total_km,km_Z3_4,km_Z5_T1_T2,km_sprinting,strength_training,hours_alternative,perceived_exertion,perceived_trainingSuccess,perceived_recovery,nr_sessions_1,total_km_1,km_Z3_4_1,km_Z5_T1_T2_1,km_sprinting_1,strength_training_1,hours_alternative_1,perceived_exertion_1,perceived_trainingSuccess_1,perceived_recovery_1,nr_sessions_2,total_km_2,km_Z3_4_2,km_Z5_T1_T2_2,km_sprinting_2,strength_training_2,hours_alternative_2,perceived_exertion_2,perceived_trainingSuccess_2,perceived_recovery_2,nr_sessions_3,total_km_3,km_Z3_4_3,km_Z5_T1_T2_3,km_sprinting_3,strength_training_3,hours_alternative_3,perceived_exertion_3,perceived_trainingSuccess_3,perceived_recovery_3,nr_sessions_4,total_km_4,km_Z3_4_4,km_Z5_T1_T2_4,km_sprinting_4,strength_training_4,hours_alternative_4,perceived_exertion_4,perceived_trainingSuccess_4,perceived_recovery_4,nr_sessions_5,total_km_5,km_Z3_4_5,km_Z5_T1_T2_5,km_sprinting_5,strength_training_5,hours_alternative_5,perceived_exertion_5,perceived_trainingSuccess_5,perceived_recovery_5,nr_sessions_6,total_km_6,km_Z3_4_6,km_Z5_T1_T2_6,km_sprinting_6,strength_training_6,hours_alternative_6,perceived_exertion_6,perceived_trainingSuccess_6,perceived_recovery_6,athlete_id,injury,date
1.0,5.8,0.0,0.6,1.2,0.0,0.0,0.11,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,1.0,0.0,0.0,0.0,0.0,0.0,1.08,0.08,0.0,0.18,1.0,16.4,10.0,0.0,0.0,1.0,0.0,0.11,0.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.15,0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,1.0,0.0,0.0,0.0,0.0,0.0,1.08,0.08,0.0,0.18,1.0,16.4,10.0,0.0,0.0,1.0,0.0,0.11,0.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.15,1.0,5.2,0.0,0.5,1.2,0.0,0.0,0.1,0.0,0.17,0,0,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,1.0,0.0,0.0,0.0,0.0,0.0,1.08,0.08,0.0,0.18,1.0,16.4,10.0,0.0,0.0,1.0,0.0,0.11,0.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.15,1.0,5.2,0.0,0.5,1.2,0.0,0.0,0.1,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,0,0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,1.0,0.0,0.0,0.0,0.0,0.0,1.08,0.08,0.0,0.18,1.0,16.4,10.0,0.0,0.0,1.0,0.0,0.11,0.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.15,1.0,5.2,0.0,0.5,1.2,0.0,0.0,0.1,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.17,0,0,3
1.0,0.0,0.0,0.0,0.0,0.0,1.08,0.08,0.0,0.18,1.0,16.4,10.0,0.0,0.0,1.0,0.0,0.11,0.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.15,1.0,5.2,0.0,0.5,1.2,0.0,0.0,0.1,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.17,1.0,17.6,7.2,0.0,0.0,0.0,0.0,0.11,0.0,0.17,0,0,4
1.0,16.4,10.0,0.0,0.0,1.0,0.0,0.11,0.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.15,1.0,5.2,0.0,0.5,1.2,0.0,0.0,0.1,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.17,1.0,17.6,7.2,0.0,0.0,0.0,0.0,0.11,0.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,0.0,0.17,0,0,5
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.15,1.0,5.2,0.0,0.5,1.2,0.0,0.0,0.1,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.17,1.0,17.6,7.2,0.0,0.0,0.0,0.0,0.11,0.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,0.0,0.17,1.0,10.5,6.5,0.0,0.0,0.0,0.0,0.09,0.0,0.18,0,0,6
1.0,5.2,0.0,0.5,1.2,0.0,0.0,0.1,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.17,1.0,17.6,7.2,0.0,0.0,0.0,0.0,0.11,0.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,0.0,0.17,1.0,10.5,6.5,0.0,0.0,0.0,0.0,0.09,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,0,0,7
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.17,1.0,17.6,7.2,0.0,0.0,0.0,0.0,0.11,0.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,0.0,0.17,1.0,10.5,6.5,0.0,0.0,0.0,0.0,0.09,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,1.0,4.8,0.6,0.0,1.2,0.0,0.0,0.11,0.0,0.18,0,0,8
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.17,1.0,17.6,7.2,0.0,0.0,0.0,0.0,0.11,0.0,0.17,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,0.0,0.17,1.0,10.5,6.5,0.0,0.0,0.0,0.0,0.09,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,1.0,4.8,0.6,0.0,1.2,0.0,0.0,0.11,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.01,-0.01,0,0,9
